edad_min,edad_max,sexo,fumador,enfermedad,prima_base
18,25,M,No,No,12000
18,25,F,No,No,11500
18,25,M,S’,No,15000
18,25,F,S’,No,14500
26,35,M,No,No,16000
26,35,F,No,No,15500
26,35,M,S’,No,19000
26,35,F,S’,No,18500
36,45,M,No,No,22000
36,45,F,No,No,21500
36,45,M,S’,No,26000
36,45,F,S’,No,25500
46,55,M,No,No,30000
46,55,F,No,No,29500
46,55,M,S’,No,35000
46,55,F,S’,No,34000
56,65,M,No,No,42000
56,65,F,No,No,41000
56,65,M,S’,No,48000
56,65,F,S’,No,47000
56,65,M,No,S’,52000
56,65,F,No,S’,51000
56,65,M,S’,S’,58000
56,65,F,S’,S’,57000
